Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance
Simulation_1	2	0.055	0.175	0.078	1.75	0.55	1	0.05	12000	1000	1	500	111
Simulation_2	2.5	0.032	0.111	0.041	2.376	0.324	2	0.05	12000	1000	1	500	111
Simulation_3	1.499	0.078	0.239	0.114	1.124	0.775	3	0.05	12000	1000	1	500	111
Simulation_4	1.749	0.044	0.144	0.023	2.689	0.888	4	0.05	12000	1000	1	500	111
Simulation_5	2.751	0.089	0.269	0.096	1.437	0.437	5	0.05	12000	1000	1	500	111
Simulation_6	2.25	0.021	0.081	0.059	0.811	0.662	6	0.05	12000	1000	1	500	111
Simulation_7	1.248	0.066	0.206	0.132	2.063	0.212	7	0.05	12000	1000	1	500	111
Simulation_8	1.374	0.038	0.128	0.105	1.907	0.268	8	0.05	12000	1000	1	500	111
Simulation_9	2.375	0.083	0.253	0.032	0.654	0.719	9	0.05	12000	1000	1	500	111
Simulation_10	2.876	0.016	0.067	0.141	1.28	0.493	10	0.05	12000	1000	1	500	111
Simulation_11	1.874	0.061	0.192	0.068	2.533	0.944	11	0.05	12000	1000	1	500	111
Simulation_12	1.624	0.027	0.097	0.087	1.593	0.831	12	0.05	12000	1000	1	500	111
Simulation_13	2.625	0.072	0.222	0.014	2.846	0.381	13	0.05	12000	1000	1	500	111
Simulation_14	2.125	0.049	0.158	0.123	2.22	0.606	14	0.05	12000	1000	1	500	111
Simulation_15	1.123	0.094	0.283	0.05	0.967	0.155	15	0.05	12000	1000	1	500	111
Simulation_16	1.186	0.052	0.167	0.064	1.202	0.409	16	0.05	12000	1000	1	500	111
Simulation_17	2.187	0.097	0.292	0.137	2.455	0.86	17	0.05	12000	1000	1	500	111
Simulation_18	2.688	0.03	0.106	0.028	1.828	0.184	18	0.05	12000	1000	1	500	111
Simulation_19	1.687	0.075	0.231	0.1	0.576	0.634	19	0.05	12000	1000	1	500	111
Simulation_20	1.937	0.018	0.072	0.046	2.141	0.747	20	0.05	12000	1000	1	500	111
Simulation_21	2.938	0.063	0.197	0.118	0.889	0.296	21	0.05	12000	1000	1	500	111
