Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_1	1.998	0.055	0.175	0.078	1.75	0.549	1	0.05	12000	1000	1	500	111	1	0	1	33	33	0	1	0.950625200384739	29	5762.84642890909	3
Simulation_2	2.501	0.032	0.238	0.041	2.377	0.323	2	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	5466.78926210267	3
Simulation_3	1.495	0.078	0.112	0.114	1.123	0.775	3	0.05	12000	1000	1	500	111	1	0	1	17	17	0	1	0.103558832959282	15	5174.97165213021	3
Simulation_4	1.747	0.044	0.206	0.023	2.691	0.889	4	0.05	12000	1000	1	500	111	1	0	1	77	77	0	1	0.974671369028535	70	2694.16105765157	1
Simulation_5	2.752	0.089	0.081	0.096	1.436	0.436	5	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.115421609490221	-1	4747.68563688686	1
Simulation_6	2.25	0.021	0.144	0.059	0.809	0.662	6	0.05	12000	1000	1	500	111	1	0	1	8	8	0	1	0.352997755690927	8	4917.26268786657	1
Simulation_7	1.244	0.066	0.269	0.132	2.064	0.21	7	0.05	12000	1000	1	500	111	0	92	1	1389	1390	1	1	0.205514588008977	390	5797.98236138618	2
Simulation_8	1.369	0.038	0.128	0.105	1.907	0.266	8	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	6333.35801787511	2
Simulation_9	2.375	0.083	0.253	0.032	0.652	0.719	9	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1	3951.27954505185	1
Simulation_10	2.878	0.015	0.191	0.141	1.279	0.493	10	0.05	12000	1000	1	500	111	1	0	1	14	17	3	0	-1	-1	2318.60173875278	1
Simulation_11	1.872	0.061	0.065	0.068	2.534	0.945	11	0.05	12000	1000	1	500	111	1	0	1	74	75	1	1	0.388586085283745	42	3557.70317943654	1
Simulation_12	1.621	0.027	0.285	0.087	1.593	0.832	12	0.05	12000	1000	1	500	111	1	0	1	218	221	3	1	0.862135299775569	216	3999.78105774974	1
Simulation_13	2.627	0.072	0.159	0.014	2.848	0.379	13	0.05	12000	1000	1	500	111	1	0	1	66	66	0	1	0.101635139467778	25	6156.71652086397	3
Simulation_14	2.124	0.049	0.097	0.123	2.221	0.606	14	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6063.77416831547	1
Simulation_15	1.118	0.095	0.222	0.05	0.966	0.153	15	0.05	12000	1000	1	500	111	0	182	1	1325	1325	0	1	0.167361333760821	415	4012.04119640065	1
Simulation_16	1.181	0.052	0.261	0.064	1.201	0.408	16	0.05	12000	1000	1	500	111	0	72	1	2091	2097	6	1	1	1247	4196.15154089103	1
Simulation_17	2.187	0.097	0.136	0.137	2.456	0.86	17	0.05	12000	1000	1	500	111	1	0	1	70	70	0	1	0.141712087207438	52	1576.8203279772	3
Simulation_18	2.69	0.029	0.073	0.027	1.828	0.181	18	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	3541.15357138862	5
Simulation_19	1.684	0.075	0.199	0.1	0.574	0.634	19	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1	5479.26445863947	3
Simulation_20	1.935	0.018	0.167	0.046	2.142	0.747	20	0.05	12000	1000	1	500	111	1	0	1	282	290	8	1	0.0737415838409747	111	5393.7384871926	2
Simulation_21	2.941	0.063	0.293	0.118	0.887	0.294	21	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.12504007694774	2	5962.33833754312	1
Simulation_22	2.438	0.041	0.23	0.009	1.515	0.973	22	0.05	12000	1000	1	500	111	1	0	1	26	26	0	1	0.185315806348189	10	1802.98175010402	1
Simulation_23	1.432	0.086	0.104	0.082	2.77	0.521	23	0.05	12000	1000	1	500	111	0	101	1	1354	1354	0	1	0.156460403975633	461	5125.54828324403	1
Simulation_24	1.306	0.024	0.183	0.128	2.613	0.464	24	0.05	12000	1000	1	500	111	1	0	1	20	20	0	0	-1	-1	2269.94035066096	1
Simulation_25	2.312	0.069	0.057	0.055	1.358	0.917	25	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.0965052901571016	3	4320.22410453078	1
Simulation_26	2.815	0.046	0.12	0.091	0.73	0.238	26	0.05	12000	1000	1	500	111	1	0	1	96	96	0	1	0.849951907662712	37	5293.56487326262	2
Simulation_27	1.809	0.092	0.246	0.018	1.985	0.691	27	0.05	12000	1000	1	500	111	0	23	1	1247	1248	1	1	0.352035908945175	548	4296.31191195208	1
Simulation_28	1.558	0.035	0.089	0.146	1.044	0.577	28	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	3015.57066408768	1
Simulation_29	2.564	0.08	0.214	0.073	2.299	0.125	29	0.05	12000	1000	1	500	111	1	0	1	38	38	0	1	0.107085604360372	24	2212.58021461971	1
Simulation_30	2.061	0.012	0.277	0.109	2.926	0.804	30	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5942.08893385902	2
Simulation_31	1.055	0.058	0.151	0.037	1.672	0.351	31	0.05	12000	1000	1	500	111	0	138	1	3379	3379	0	0	-1	-1	7662.46895107446	2
