Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events
Simulation_1	1.998	0.055	0.175	0.078	1.75	0.549	1	12000	1000	1	500	111	0	4726	1	4833	4894	61
Simulation_2	2.501	0.032	0.111	0.041	2.377	0.323	2	12000	1000	1	500	111	0	4396	1	1035	1035	0
Simulation_3	1.495	0.078	0.239	0.114	1.123	0.775	3	12000	1000	1	500	111	0	4341	1	1590	1590	0
Simulation_4	1.747	0.044	0.144	0.023	2.691	0.889	4	12000	1000	1	500	111	0	3685	1	2973	3103	130
Simulation_5	2.752	0.089	0.269	0.096	1.436	0.436	5	12000	1000	1	500	111	0	4600	1	3583	3588	5
Simulation_6	2.25	0.021	0.081	0.059	0.809	0.662	6	12000	1000	1	500	111	0	4450	1	2475	2594	119
Simulation_7	1.244	0.066	0.206	0.132	2.064	0.21	7	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_8	1.369	0.038	0.128	0.105	1.907	0.266	8	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_9	2.375	0.083	0.253	0.032	0.652	0.719	9	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_10	2.878	0.015	0.064	0.141	1.279	0.493	10	12000	1000	1	500	111	0	4617	1	3879	4151	272
Simulation_11	1.872	0.061	0.192	0.068	2.534	0.945	11	12000	1000	1	500	111	0	4119	1	2487	2496	9
Simulation_12	1.621	0.027	0.097	0.087	1.593	0.832	12	12000	1000	1	500	111	0	4668	1	3127	3207	80
Simulation_13	2.627	0.072	0.222	0.014	2.848	0.379	13	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_14	2.124	0.049	0.158	0.123	2.221	0.606	14	12000	1000	1	500	111	0	4709	1	4594	4709	115
Simulation_15	1.118	0.095	0.286	0.05	0.966	0.153	15	12000	1000	1	500	111	0	4797	1	3495	3497	2
Simulation_16	1.181	0.052	0.167	0.064	1.201	0.408	16	12000	1000	1	500	111	0	4803	1	4501	4550	49
Simulation_17	2.187	0.097	0.292	0.137	2.456	0.86	17	12000	1000	1	500	111	0	4555	1	2929	2932	3
Simulation_18	2.69	0.029	0.103	0.027	1.828	0.181	18	12000	1000	1	500	111	1	0	1	2	3	1
Simulation_19	1.684	0.075	0.231	0.1	0.574	0.634	19	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_20	1.935	0.018	0.072	0.046	2.142	0.747	20	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_21	2.941	0.063	0.197	0.118	0.887	0.294	21	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_22	2.438	0.041	0.136	0.009	1.515	0.973	22	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_23	1.432	0.086	0.261	0.082	2.77	0.521	23	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_24	1.306	0.024	0.089	0.128	2.613	0.464	24	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_25	2.312	0.069	0.214	0.055	1.358	0.917	25	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_26	2.815	0.046	0.15	0.091	0.73	0.238	26	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_27	1.809	0.092	0.278	0.018	1.985	0.691	27	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_28	1.558	0.035	0.119	0.146	1.044	0.577	28	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_29	2.564	0.08	0.244	0.073	2.299	0.125	29	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_30	2.061	0.012	0.056	0.109	2.926	0.804	30	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_31	1.055	0.058	0.183	0.037	1.672	0.351	31	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_32	1.086	0.034	0.117	0.089	2.26	0.676	32	12000	1000	1	500	111	0	4831	1	4885	4915	30
Simulation_33	2.092	0.079	0.242	0.016	1.005	0.224	33	12000	1000	1	500	111	0	4703	1	3455	3633	178
Simulation_34	2.595	0.011	0.053	0.125	1.632	0.903	34	12000	1000	1	500	111	0	4436	1	2612	3091	479
