Sim_index	S	omega_T	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_1	1.998	0.055	0.078	1.75	0.55	1	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4953.44873279652	4
Simulation_2	2.501	0.032	0.114	1.123	0.776	2	0.05	12000	1000	1	500	111	1	0	1	4	5	1	0	-1	-1	3730.30261984419	3
Simulation_3	1.495	0.078	0.041	2.377	0.324	3	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	7718.86333670905	4
Simulation_4	1.747	0.044	0.096	0.809	0.889	4	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4264.32809747601	3
Simulation_5	2.752	0.089	0.023	2.064	0.437	5	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4619.55632318253	4
Simulation_6	2.25	0.021	0.059	1.436	0.211	6	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4154.99637525818	4
Simulation_7	1.244	0.066	0.132	2.691	0.663	7	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5151.08237216938	4
Simulation_8	1.369	0.038	0.05	2.221	0.606	8	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5361.69964017827	3
Simulation_9	2.375	0.083	0.123	0.966	0.155	9	0.05	12000	1000	1	500	111	1	0	1	1173	1233	60	0	-1	-1	8456.38573930731	4
Simulation_10	2.878	0.015	0.087	2.848	0.381	10	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6962.72181872771	4
Simulation_11	1.872	0.061	0.014	1.593	0.832	11	0.05	12000	1000	1	500	111	1	0	1	60	61	1	1	0.956242707117853	59	1512.90265010755	1
Simulation_12	1.621	0.027	0.141	1.907	0.494	12	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6650.3942791647	4
Simulation_13	2.627	0.072	0.068	0.652	0.945	13	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4257.77064182026	3
Simulation_14	2.124	0.049	0.032	2.534	0.719	14	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6230.3487793739	4
Simulation_15	1.118	0.095	0.105	1.279	0.268	15	0.05	12000	1000	1	500	111	0	78	1	2250	2286	36	1	0.02975495915986	2	6615.85951898636	3
Simulation_16	1.181	0.052	0.128	1.515	0.352	16	0.05	12000	1000	1	500	111	0	35	1	3658	3672	14	1	0.727537922987165	1362	333.585303532452	1
Simulation_17	2.187	0.097	0.055	2.77	0.804	17	0.05	12000	1000	1	500	111	1	0	1	324	324	0	1	0.99416569428238	270	2045.98239145797	3
Simulation_18	2.69	0.029	0.018	0.887	0.578	18	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6753.42823119129	4
Simulation_19	1.684	0.075	0.091	2.142	0.126	19	0.05	12000	1000	1	500	111	0	15	1	1414	1414	0	1	0.900233372228705	1409	1635.240861546	2
Simulation_20	1.935	0.018	0.073	1.201	0.691	20	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	9144.61845421503	4
Simulation_21	2.941	0.063	0.146	2.456	0.239	21	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6287.78994692632	4
Simulation_22	2.438	0.041	0.109	0.574	0.465	22	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4616.98461704759	3
Simulation_23	1.432	0.086	0.037	1.828	0.917	23	0.05	12000	1000	1	500	111	1	0	1	9	10	1	0	-1	-1	4637.2799523033	2
Simulation_24	1.306	0.024	0.082	2.613	0.861	24	0.05	12000	1000	1	500	111	0	65	1	2870	2945	75	1	0.00233372228704784	2	7424.67542285945	5
Simulation_25	2.312	0.069	0.009	1.358	0.409	25	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7420.81809177115	4
Simulation_26	2.815	0.046	0.046	1.985	0.183	26	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5400.59266823569	4
Simulation_27	1.809	0.092	0.118	0.73	0.635	27	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	7997.29837661835	4
Simulation_28	1.558	0.035	0.027	2.926	0.296	28	0.05	12000	1000	1	500	111	0	64	1	1295	1296	1	1	0.657526254375729	105	3792.23882108639	2
Simulation_29	2.564	0.08	0.1	1.672	0.748	29	0.05	12000	1000	1	500	111	1	0	1	17	17	0	0	-1	-1	7422.95258127641	5
Simulation_30	2.061	0.012	0.137	2.299	0.974	30	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6789.72266633157	4
Simulation_31	1.055	0.058	0.064	1.044	0.522	31	0.05	12000	1000	1	500	111	0	80	1	2104	2124	20	1	1	1551	3736.12202502515	3
Simulation_32	1.086	0.034	0.093	1.946	0.734	32	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6153.55734404844	4
