"Sim_index" "S" "omega_T" "sigma_e" "disp_shape" "disp_scale" "seed" "divergence_factor" "max_species" "max_coex_sp" "start_species" "init_ab" "grid_cell_distance" "finished" "final_timestep" "initial_nb_species" "final_nb_species" "sp_events" "ex_events" "exchanged" "prop_col_area" "div_col" "dist_to_isthmus" "start_biome"
"1" "Simulation_1" 1.998 0.055 0.078 1.75 0.55 1 0.05 12000 1000 1 500 111 1 0 1 45 48 3 1 0.986534145559474 39 5762.84642890909 3
"2" "Simulation_2" 2.501 0.032 0.114 1.123 0.776 2 0.05 12000 1000 1 500 111 1 0 1 3 3 0 1 0.209361974991985 3 5421.31676535455 3
"3" "Simulation_3" 1.495 0.078 0.041 2.377 0.324 3 0.05 12000 1000 1 500 111 0 1 1 1576 1576 0 1 0.215453671048413 450 5128.96202511062 3
"4" "Simulation_4" 1.747 0.044 0.096 0.809 0.889 4 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 2648.40247485212 1
"5" "Simulation_5" 2.752 0.089 0.023 2.064 0.437 5 0.05 12000 1000 1 500 111 1 0 1 208 208 0 1 0.133696697659506 111 4641.43221005111 1
"6" "Simulation_6" 2.25 0.021 0.059 1.436 0.211 6 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4764.67852397628 1
"7" "Simulation_7" 1.244 0.066 0.132 2.691 0.663 7 0.05 12000 1000 1 500 111 0 140 1 1531 1531 0 1 0.468098749599231 515 6014.88820067733 3
"8" "Simulation_8" 1.369 0.038 0.05 2.221 0.606 8 0.05 12000 1000 1 500 111 1 0 1 705 705 0 1 0.407502404616864 259 6298.7585392263 2
"9" "Simulation_9" 2.375 0.083 0.123 0.966 0.155 9 0.05 12000 1000 1 500 111 1 0 1 82 82 0 1 0.116383456235973 39 3904.81781820579 1
"10" "Simulation_10" 2.878 0.015 0.087 2.848 0.381 10 0.05 12000 1000 1 500 111 1 0 1 12 14 2 0 -1 -1 2365.99284164379 1
"11" "Simulation_11" 1.872 0.061 0.014 1.593 0.832 11 0.05 12000 1000 1 500 111 1 0 1 109 109 0 1 0.772683552420648 49 3400.49845123946 1
"12" "Simulation_12" 1.621 0.027 0.141 1.907 0.494 12 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4062.16755243937 1
"13" "Simulation_13" 2.627 0.072 0.068 0.652 0.945 13 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 6156.71652086397 3
"14" "Simulation_14" 2.124 0.049 0.032 2.534 0.719 14 0.05 12000 1000 1 500 111 1 0 1 65 65 0 1 0.978518756011542 56 5849.47239108924 1
"15" "Simulation_15" 1.118 0.095 0.105 1.279 0.268 15 0.05 12000 1000 1 500 111 0 49 1 1455 1455 0 1 0.25585123436999 443 4012.04119640065 1
"16" "Simulation_16" 1.181 0.052 0.128 1.515 0.352 16 0.05 12000 1000 1 500 111 0 16 1 2491 2493 2 1 0.480282141712087 1513 4412.15212730156 1
"17" "Simulation_17" 2.187 0.097 0.055 2.77 0.804 17 0.05 12000 1000 1 500 111 1 0 1 317 317 0 1 0.323180506572619 188 1465.62522679972 3
"18" "Simulation_18" 2.69 0.029 0.018 0.887 0.578 18 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5216.82296364839 4
"19" "Simulation_19" 1.684 0.075 0.091 2.142 0.126 19 0.05 12000 1000 1 500 111 1 0 1 119 119 0 1 0.100673292722026 41 5582.11990377634 3
"20" "Simulation_20" 1.935 0.018 0.073 1.201 0.691 20 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5393.7384871926 1
"21" "Simulation_21" 2.941 0.063 0.146 2.456 0.239 21 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.0689323501122154 3 6028.28697022839 2
"22" "Simulation_22" 2.438 0.041 0.109 0.574 0.465 22 0.05 12000 1000 1 500 111 1 0 1 4 5 1 1 0.273805706957358 4 1850.55230717382 1
"23" "Simulation_23" 1.432 0.086 0.037 1.828 0.917 23 0.05 12000 1000 1 500 111 1 0 1 126 126 0 1 0.132734850913754 80 4974.49486322676 1
"24" "Simulation_24" 1.306 0.024 0.082 2.613 0.861 24 0.05 12000 1000 1 500 111 0 25 1 1916 1947 31 1 0.130169926258416 613 2335.24563743699 1
"25" "Simulation_25" 2.312 0.069 0.009 1.358 0.409 25 0.05 12000 1000 1 500 111 1 0 1 31 31 0 1 0.232766912471946 23 4320.22410453078 1
"26" "Simulation_26" 2.815 0.046 0.046 1.985 0.183 26 0.05 12000 1000 1 500 111 1 0 1 34 34 0 1 0.167681949342738 22 5293.56487326262 3
"27" "Simulation_27" 1.809 0.092 0.118 0.73 0.635 27 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.533183712728439 4 4296.31191195208 1
"28" "Simulation_28" 1.558 0.035 0.027 2.926 0.296 28 0.05 12000 1000 1 500 111 1 0 1 2 2 0 0 -1 -1 3125.84855138792 1
"29" "Simulation_29" 2.564 0.08 0.1 1.672 0.748 29 0.05 12000 1000 1 500 111 1 0 1 28 28 0 1 0.10612375761462 18 2277.622043322 1
"30" "Simulation_30" 2.061 0.012 0.137 2.299 0.974 30 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5852.09454971076 2
"31" "Simulation_31" 1.055 0.058 0.064 1.044 0.522 31 0.05 12000 1000 1 500 111 0 146 1 1603 1604 1 1 0.750561077268355 465 7681.85005248198 2
"32" "Simulation_32" 1.086 0.034 0.093 1.946 0.734 32 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2166.52269361818 1
"33" "Simulation_33" 2.092 0.079 0.021 0.691 0.282 33 0.05 12000 1000 1 500 111 1 0 1 240 240 0 1 0.594100673292722 135 3593.26952235442 1
"34" "Simulation_34" 2.595 0.011 0.057 2.574 0.508 34 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3842.82737377281 1
"35" "Simulation_35" 1.589 0.056 0.13 1.319 0.959 35 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.0644437319653735 2 4488.84804616083 1
"36" "Simulation_36" 1.841 0.022 0.039 2.26 0.395 36 0.05 12000 1000 1 500 111 1 0 1 7 7 0 0 -1 -1 5852.69606329147 3
"37" "Simulation_37" 2.847 0.068 0.112 1.005 0.846 37 0.05 12000 1000 1 500 111 1 0 1 3 3 0 1 0.484450144277012 3 4322.02761595036 2
"38" "Simulation_38" 2.344 0.045 0.148 2.887 0.621 38 0.05 12000 1000 1 500 111 1 0 1 1638 1638 0 1 0.458800897723629 300 6372.41361895576 2
"39" "Simulation_39" 1.338 0.09 0.075 1.632 0.169 39 0.05 12000 1000 1 500 111 0 113 1 1157 1157 0 1 0.15678101955755 386 6167.21767078369 2
"40" "Simulation_40" 1.464 0.017 0.121 0.848 0.225 40 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4814.62404612436 1
"41" "Simulation_41" 2.47 0.062 0.048 2.103 0.677 41 0.05 12000 1000 1 500 111 1 0 1 60 60 0 1 0.934915036870792 30 5254.92483488814 1
"42" "Simulation_42" 2.972 0.039 0.012 1.475 0.903 42 0.05 12000 1000 1 500 111 1 0 1 31 31 0 1 0.558512343699904 18 5652.75790321513 1
"43" "Simulation_43" 1.967 0.085 0.084 2.73 0.451 43 0.05 12000 1000 1 500 111 0 3 1 1144 1144 0 1 0.158704713049054 524 5800.84727840003 3
"44" "Simulation_44" 1.715 0.051 0.066 0.534 0.79 44 0.05 12000 1000 1 500 111 1 0 1 5 5 0 1 0.525488938762424 5 1289.10111549156 1
"45" "Simulation_45" 2.721 0.096 0.139 1.789 0.338 45 0.05 12000 1000 1 500 111 1 0 1 19 19 0 1 0.137544084642514 12 3920.14160889679 1
"46" "Simulation_46" 2.218 0.028 0.103 1.162 0.112 46 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 6934.86901437697 3
"47" "Simulation_47" 1.212 0.073 0.03 2.417 0.564 47 0.05 12000 1000 1 500 111 0 84 1 1388 1388 0 1 0.31131773004168 588 3547.25989533483 1
"48" "Simulation_48" 1.149 0.031 0.043 2.966 0.988 48 0.05 12000 1000 1 500 111 0 9 1 1783 1785 2 1 0.970182750881693 1695 5050.68086918283 3
"49" "Simulation_49" 2.155 0.076 0.116 1.711 0.536 49 0.05 12000 1000 1 500 111 1 0 1 616 616 0 1 0.945495351074062 313 7396.66435277874 2
"50" "Simulation_50" 2.658 0.053 0.08 2.338 0.31 50 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 7702.0338354608 5
"51" "Simulation_51" 1.652 0.099 0.007 1.083 0.762 51 0.05 12000 1000 1 500 111 1 0 1 10 10 0 1 0.150368707919205 7 5037.00260433909 3
