Sim_index	S	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_1	1.998	0.175	0.078	1.75	0.55	1	0.05	12000	1000	1	500	111	1	0	1	54	54	0	1	0.890898483080513	6	4976.843940776	4
Simulation_2	2.501	0.112	0.114	1.123	0.776	2	0.05	12000	1000	1	500	111	1	0	1	8	8	0	0	-1	-1	3730.30261984419	3
Simulation_3	1.495	0.238	0.041	2.377	0.324	3	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	7612.74894366891	4
Simulation_4	1.747	0.143	0.096	0.809	0.889	4	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4219.80633261572	3
Simulation_5	2.752	0.269	0.023	2.064	0.437	5	0.05	12000	1000	1	500	111	1	0	1	33	33	0	1	0.00058343057176196	3	4590.68215608864	4
Simulation_6	2.25	0.08	0.059	1.436	0.211	6	0.05	12000	1000	1	500	111	1	0	1	16	16	0	0	-1	-1	4154.99637525818	4
Simulation_7	1.244	0.206	0.132	2.691	0.663	7	0.05	12000	1000	1	500	111	0	16	1	3147	3148	1	1	0.00175029171528588	134	5235.63533779198	4
Simulation_8	1.369	0.128	0.05	2.221	0.606	8	0.05	12000	1000	1	500	111	1	0	1	649	649	0	0	-1	-1	5275.89920717669	3
Simulation_9	2.375	0.253	0.123	0.966	0.155	9	0.05	12000	1000	1	500	111	1	0	1	1158	1158	0	0	-1	-1	8456.38573930731	4
Simulation_10	2.878	0.065	0.087	2.848	0.381	10	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	6962.72181872771	4
Simulation_11	1.872	0.19	0.014	1.593	0.832	11	0.05	12000	1000	1	500	111	1	0	1	28	28	0	1	0.11901983663944	2	1726.13454664772	1
Simulation_12	1.621	0.096	0.141	1.907	0.494	12	0.05	12000	1000	1	500	111	1	0	1	638	638	0	0	-1	-1	6620.0213625578	4
Simulation_13	2.627	0.222	0.068	0.652	0.945	13	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.871645274212369	1	4257.77064182026	3
Simulation_14	2.124	0.159	0.032	2.534	0.719	14	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1	6158.13386792219	4
Simulation_15	1.118	0.285	0.105	1.279	0.268	15	0.05	12000	1000	1	500	111	0	121	1	4949	4949	0	1	0.432905484247375	3	6615.85951898636	4
Simulation_16	1.181	0.167	0.128	1.515	0.352	16	0.05	12000	1000	1	500	111	0	133	1	4096	4097	1	1	0.998249708284714	3820	488.835641350525	1
Simulation_17	2.187	0.293	0.055	2.77	0.804	17	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.982497082847141	2	1982.63366672089	3
Simulation_18	2.69	0.104	0.018	0.887	0.578	18	0.05	12000	1000	1	500	111	1	0	1	5	5	0	0	-1	-1	6735.6452998833	4
Simulation_19	1.684	0.23	0.091	2.142	0.126	19	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	1635.240861546	2
Simulation_20	1.935	0.073	0.073	1.201	0.691	20	0.05	12000	1000	1	500	111	1	0	1	11	11	0	0	-1	-1	9183.55936576675	5
Simulation_21	2.941	0.198	0.146	2.456	0.239	21	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	6316.31267863619	4
Simulation_22	2.438	0.135	0.109	0.574	0.465	22	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.817969661610268	2	4525.34619527412	3
Simulation_23	1.432	0.261	0.037	1.828	0.917	23	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4637.2799523033	2
Simulation_24	1.306	0.088	0.082	2.613	0.861	24	0.05	12000	1000	1	500	111	1	0	1	29	29	0	0	-1	-1	7424.67542285945	5
Simulation_25	2.312	0.214	0.009	1.358	0.409	25	0.05	12000	1000	1	500	111	1	0	1	87	87	0	0	-1	-1	7420.81809177115	4
Simulation_26	2.815	0.151	0.046	1.985	0.183	26	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	5400.59266823569	4
Simulation_27	1.809	0.277	0.118	0.73	0.635	27	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.944574095682614	1	8101.08245422539	4
Simulation_28	1.558	0.12	0.027	2.926	0.296	28	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	3792.23882108639	2
Simulation_29	2.564	0.245	0.1	1.672	0.748	29	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	7411.3118567694	5
Simulation_30	2.061	0.057	0.137	2.299	0.974	30	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1	6789.72266633157	5
Simulation_31	1.055	0.183	0.064	1.044	0.522	31	0.05	12000	1000	1	500	111	1	0	1	1149	1149	0	1	0.991248541423571	399	3593.66769854493	3
Simulation_32	1.086	0.116	0.093	1.946	0.734	32	0.05	12000	1000	1	500	111	1	0	1	12	12	0	0	-1	-1	6153.55734404844	4
Simulation_33	2.092	0.242	0.021	0.691	0.282	33	0.05	12000	1000	1	500	111	1	0	1	8	8	0	1	0.945740956826138	4	6340.5943928399	4
Simulation_34	2.595	0.053	0.057	2.574	0.508	34	0.05	12000	1000	1	500	111	1	0	1	2328	2328	0	0	-1	-1	6906.36777228064	4
Simulation_35	1.589	0.179	0.13	1.319	0.959	35	0.05	12000	1000	1	500	111	1	0	1	19	19	0	1	0.96732788798133	5	4672.20351783656	2
Simulation_36	1.841	0.084	0.039	2.26	0.395	36	0.05	12000	1000	1	500	111	1	0	1	21	21	0	0	-1	-1	4722.3172645792	3
Simulation_37	2.847	0.21	0.112	1.005	0.846	37	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4998.78882387969	2
Simulation_38	2.344	0.147	0.148	2.887	0.621	38	0.05	12000	1000	1	500	111	1	0	1	67	67	0	0	-1	-1	3319.15188492997	2
Simulation_39	1.338	0.273	0.075	1.632	0.169	39	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	5116.18989388541	4
Simulation_40	1.464	0.069	0.121	0.848	0.225	40	0.05	12000	1000	1	500	111	1	0	1	825	827	2	0	-1	-1	643.770126378045	1
Simulation_41	2.47	0.194	0.048	2.103	0.677	41	0.05	12000	1000	1	500	111	1	0	1	36	36	0	1	0.970828471411902	13	3887.21265792509	2
Simulation_42	2.972	0.132	0.012	1.475	0.903	42	0.05	12000	1000	1	500	111	1	0	1	21	21	0	0	-1	-1	6358.5869410463	4
Simulation_43	1.967	0.257	0.084	2.73	0.451	43	0.05	12000	1000	1	500	111	1	0	1	72	72	0	0	-1	-1	4775.03730637112	4
Simulation_44	1.715	0.163	0.066	0.534	0.79	44	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.726954492415403	1	4168.5546184613	2
Simulation_45	2.721	0.289	0.139	1.789	0.338	45	0.05	12000	1000	1	500	111	1	0	1	230	230	0	1	0.00058343057176196	1	6615.85951898636	4
Simulation_46	2.218	0.1	0.103	1.162	0.112	46	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4168.5546184613	2
Simulation_47	1.212	0.226	0.03	2.417	0.564	47	0.05	12000	1000	1	500	111	0	98	1	3091	3091	0	1	0.00116686114352392	27	6043.13990294183	4
Simulation_48	1.149	0.108	0.043	2.966	0.988	48	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	5222.69236801178	2
