"Sim_index" "S" "omega_P" "sigma_e" "disp_shape" "disp_scale" "seed" "divergence_factor" "max_species" "max_coex_sp" "start_species" "init_ab" "grid_cell_distance" "finished" "final_timestep" "initial_nb_species" "final_nb_species" "sp_events" "ex_events" "exchanged" "prop_col_area" "div_col" "dist_to_isthmus"
"1" "Simulation_1" 1.998 0.175 0.078 1.75 0.55 1 0.05 12000 1000 1 500 111 1 0 1 7 7 0 1 0.98461045206797 4 5864.46942413812
"2" "Simulation_2" 2.501 0.112 0.114 1.123 0.776 2 0.05 12000 1000 1 500 111 1 0 1 16 16 0 1 0.974991984610452 11 5512.41661330011
"3" "Simulation_3" 1.495 0.238 0.041 2.377 0.324 3 0.05 12000 1000 1 500 111 1 0 1 303 303 0 1 0.217377364539917 255 5234.08338521426
"4" "Simulation_4" 1.747 0.143 0.096 0.809 0.889 4 0.05 12000 1000 1 500 111 1 0 1 24 24 0 1 0.987816607887143 24 2694.16105765157
"5" "Simulation_5" 2.752 0.269 0.023 2.064 0.437 5 0.05 12000 1000 1 500 111 1 0 1 210 210 0 1 0.973388906700866 53 4641.43221005111
"6" "Simulation_6" 2.25 0.08 0.059 1.436 0.211 6 0.05 12000 1000 1 500 111 1 0 1 99 99 0 1 0.218980442449503 67 4917.26268786657
"7" "Simulation_7" 1.244 0.206 0.132 2.691 0.663 7 0.05 12000 1000 1 500 111 1 0 1 750 750 0 1 0.997435075344662 742 5941.71949846165
"8" "Simulation_8" 1.369 0.128 0.05 2.221 0.606 8 0.05 12000 1000 1 500 111 1 0 1 1670 1671 1 1 0.990060916960564 1157 6333.35801787511
"9" "Simulation_9" 2.375 0.253 0.123 0.966 0.155 9 0.05 12000 1000 1 500 111 1 0 1 470 470 0 1 0.72523244629689 95 3951.27954505185
"10" "Simulation_10" 2.878 0.065 0.087 2.848 0.381 10 0.05 12000 1000 1 500 111 1 0 1 16 16 0 0 -1 -1 2318.60173875278
"11" "Simulation_11" 1.872 0.19 0.014 1.593 0.832 11 0.05 12000 1000 1 500 111 1 0 1 62 62 0 1 0.990060916960564 59 3462.69373497661
