Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	decay	inflexion	seed	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events
Simulation_1	1.122	0.055	0.175	0.052	1.75	1.042	0	1256	1	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_2	1.314	0.032	0.111	0.028	2.385	0.556	0.762	872	2	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_3	0.93	0.078	0.239	0.076	1.115	1.529	-0.762	1640	3	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_4	1.026	0.043	0.142	0.016	2.702	1.772	-1.143	1448	4	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_5	1.41	0.089	0.269	0.064	1.433	0.799	0.381	680	5	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_6	1.218	0.02	0.078	0.04	0.798	1.286	1.143	1832	6	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_7	0.834	0.066	0.206	0.089	2.067	0.313	-0.381	1064	7	12000	1000	1	500	111	0	1159	1	5252	5252	0
Simulation_8	0.882	0.037	0.125	0.07	1.909	0.434	-1.333	1928	8	12000	1000	1	500	111	0	4851	1	6717	6717	0
Simulation_9	1.266	0.083	0.253	0.022	0.639	1.407	0.19	1160	9	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_10	1.458	0.014	0.061	0.095	1.274	0.921	0.952	1544	10	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_11	1.074	0.06	0.189	0.046	2.544	1.894	-0.571	776	11	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_12	0.978	0.026	0.094	0.058	1.591	1.65	-0.952	968	12	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_13	1.362	0.072	0.222	0.01	2.861	0.678	0.571	1736	13	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_14	1.17	0.049	0.158	0.083	2.226	1.164	1.333	584	14	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_15	0.786	0.095	0.286	0.034	0.956	0.191	-0.19	1352	15	12000	1000	1	500	111	0	4862	1	4869	4869	0
Simulation_16	0.81	0.052	0.167	0.043	1.194	0.738	0.095	1784	16	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_17	1.194	0.098	0.294	0.092	2.464	1.711	-1.429	1016	17	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_18	1.386	0.029	0.103	0.019	1.829	0.252	-0.667	1400	18	12000	1000	1	500	111	1	0	1	57	57	0
Simulation_19	1.002	0.075	0.231	0.067	0.56	1.225	0.857	632	19	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_20	1.098	0.017	0.069	0.031	2.147	1.468	0.476	1208	20	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_21	1.482	0.063	0.197	0.079	0.877	0.495	-1.048	1976	21	12000	1000	1	500	111	1	0	1	4	4	0
Simulation_22	1.29	0.04	0.133	0.007	1.512	1.954	-0.286	824	22	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_23	0.906	0.086	0.261	0.055	2.782	0.982	1.238	1592	23	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_24	0.858	0.023	0.086	0.086	2.623	0.86	0.286	728	24	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_25	1.242	0.069	0.214	0.037	1.353	1.833	-1.238	1496	25	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_26	1.434	0.046	0.15	0.061	0.718	0.374	-0.476	1112	26	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_27	1.05	0.092	0.278	0.013	1.988	1.346	1.048	1880	27	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_28	0.954	0.034	0.117	0.098	1.036	1.103	0.667	1304	28	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_29	1.338	0.081	0.247	0.049	2.306	0.13	-0.857	536	29	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_30	1.146	0.011	0.053	0.073	2.94	1.59	-0.095	1688	30	12000	1000	1	500	111	1	0	1	4	4	0
Simulation_31	0.762	0.058	0.183	0.025	1.671	0.617	1.429	920	31	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_32	0.774	0.033	0.114	0.06	2.266	1.316	-0.714	1520	32	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_33	1.158	0.079	0.242	0.011	0.996	0.343	0.81	752	33	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_34	1.35	0.01	0.05	0.084	1.631	1.802	0.048	1904	34	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_35	0.966	0.056	0.178	0.035	2.901	0.83	-1.476	1136	35	12000	1000	1	500	111	0	4684	1	2003	2003	0
Simulation_36	1.062	0.022	0.083	0.072	1.313	0.586	-0.333	560	36	12000	1000	1	500	111	0	4676	1	1864	1864	0
Simulation_37	1.446	0.068	0.211	0.023	2.583	1.559	1.19	1328	37	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_38	1.254	0.045	0.147	0.096	1.948	0.1	0.429	944	38	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_39	0.87	0.091	0.275	0.048	0.679	1.073	-1.095	1712	39	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_40	0.918	0.016	0.067	0.017	0.837	1.194	-0.524	1040	40	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_41	1.302	0.062	0.194	0.066	2.107	0.222	1	1808	41	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_42	1.494	0.039	0.131	0.041	2.742	1.681	0.238	656	42	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_43	1.11	0.085	0.258	0.09	1.472	0.708	-1.286	1424	43	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_44	1.014	0.05	0.161	0.005	2.425	0.951	-0.143	2000	44	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_45	1.398	0.096	0.289	0.054	1.155	1.924	1.381	1232	45	12000	1000	1	500	111	0	0	0	0	0	0
