Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_1	1.998	0.055	0.175	0.078	1.75	0.549	1	0.05	12000	1000	1	500	111	0	28	1	3393	3662	269	1	0.690821256038647	1144	18	5371.07319606231
Simulation_2	2.501	0.032	0.238	0.041	2.377	0.323	2	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5240.57119263438
Simulation_3	1.495	0.078	0.112	0.114	1.123	0.775	3	0.05	12000	1000	1	500	111	1	0	1	42	45	3	0	-1	-1	-1	4641.29271583497
Simulation_4	1.747	0.044	0.206	0.023	2.691	0.889	4	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7176.94963166228
Simulation_5	2.752	0.089	0.081	0.096	1.436	0.436	5	0.05	12000	1000	1	500	111	1	0	1	262	296	34	1	0.724896019013666	1220	7	3787.55112069877
Simulation_6	2.25	0.021	0.144	0.059	0.809	0.662	6	0.05	12000	1000	1	500	111	1	0	1	3	6	3	0	-1	-1	-1	4040.38667112464
Simulation_7	1.244	0.066	0.269	0.132	2.064	0.21	7	0.05	12000	1000	1	500	111	1	0	1	27	28	1	1	0.0011883541295306	2	20	1306.46675870634
Simulation_8	1.369	0.038	0.128	0.105	1.907	0.266	8	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	3281.13148232564
Simulation_9	2.375	0.083	0.253	0.032	0.652	0.719	9	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6567.56844194429
Simulation_10	2.878	0.015	0.191	0.141	1.279	0.493	10	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5965.49993385831
Simulation_11	1.872	0.061	0.065	0.068	2.534	0.945	11	0.05	12000	1000	1	500	111	1	0	1	56	63	7	0	-1	-1	-1	9001.71458316353
Simulation_12	1.621	0.027	0.285	0.087	1.593	0.832	12	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6611.73525641698
Simulation_13	2.627	0.072	0.159	0.014	2.848	0.379	13	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.0011883541295306	2	2	489.647881640171
Simulation_14	2.124	0.049	0.097	0.123	2.221	0.606	14	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6007.20073705501
Simulation_15	1.118	0.095	0.222	0.05	0.966	0.153	15	0.05	12000	1000	1	500	111	0	150	1	4768	4801	33	0	-1	-1	-1	6884.86117212424
Simulation_16	1.181	0.052	0.261	0.064	1.201	0.408	16	0.05	12000	1000	1	500	111	0	149	1	2574	2676	102	1	0.691238670694864	1144	81	4182.68899188924
