Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_1	1.998	0.055	0.175	0.078	1.75	0.549	1	0.05	12000	1000	1	500	111	1	0	1	817	836	19	1	0.408942558746736	1253	139	6229.16179063152
Simulation_2	2.501	0.032	0.238	0.041	2.377	0.323	2	0.05	12000	1000	1	500	111	1	0	1	20	20	0	0	-1	-1	-1	5723.52121376863
Simulation_3	1.495	0.078	0.112	0.114	1.123	0.775	3	0.05	12000	1000	1	500	111	1	0	1	183	191	8	1	0.993798955613577	3045	180	4844.94434768332
Simulation_4	1.747	0.044	0.206	0.023	2.691	0.889	4	0.05	12000	1000	1	500	111	1	0	1	693	751	58	1	0.434725848563969	1332	562	3997.58075413004
Simulation_5	2.752	0.089	0.081	0.096	1.436	0.436	5	0.05	12000	1000	1	500	111	1	0	1	30	30	0	1	0.279373368146214	856	17	4523.73624216299
Simulation_6	2.25	0.021	0.144	0.059	0.809	0.662	6	0.05	12000	1000	1	500	111	1	0	1	53	70	17	1	0.39686684073107	1216	51	5619.36308835186
Simulation_7	1.244	0.066	0.269	0.132	2.064	0.21	7	0.05	12000	1000	1	500	111	1	0	1	23	23	0	0	-1	-1	-1	2652.0556188051
Simulation_8	1.369	0.038	0.128	0.105	1.907	0.266	8	0.05	12000	1000	1	500	111	1	0	1	39	39	0	0	-1	-1	-1	6435.10233972296
Simulation_9	2.375	0.083	0.253	0.032	0.652	0.719	9	0.05	12000	1000	1	500	111	1	0	1	14	14	0	1	0.514360313315927	1576	13	5677.76322960493
Simulation_10	2.878	0.015	0.191	0.141	1.279	0.493	10	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	3940.40439883649
Simulation_11	1.872	0.061	0.065	0.068	2.534	0.945	11	0.05	12000	1000	1	500	111	1	0	1	103	105	2	1	0.734660574412533	2251	101	3550.24401637907
Simulation_12	1.621	0.027	0.285	0.087	1.593	0.832	12	0.05	12000	1000	1	500	111	0	86	1	1647	1679	32	1	0.501831501831502	1507	1178	2605.04678445846
Simulation_13	2.627	0.072	0.159	0.014	2.848	0.379	13	0.05	12000	1000	1	500	111	1	0	1	182	182	0	0	-1	-1	-1	5052.09092607132
Simulation_14	2.124	0.049	0.097	0.123	2.221	0.606	14	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.0075065274151436	23	1	4632.29551090379
Simulation_15	1.118	0.095	0.222	0.05	0.966	0.153	15	0.05	12000	1000	1	500	111	1	0	1	199	199	0	1	0.14621409921671	448	5	3347.51405260439
Simulation_16	1.181	0.052	0.261	0.064	1.201	0.408	16	0.05	12000	1000	1	500	111	0	49	1	1715	1723	8	1	0.345971563981043	1022	887	4874.32475397722
Simulation_17	2.187	0.097	0.136	0.137	2.456	0.86	17	0.05	12000	1000	1	500	111	1	0	1	112	112	0	1	0.993798955613577	3045	107	2002.72266796438
Simulation_18	2.69	0.029	0.073	0.027	1.828	0.181	18	0.05	12000	1000	1	500	111	1	0	1	33	33	0	0	-1	-1	-1	2316.49880431623
Simulation_19	1.684	0.075	0.199	0.1	0.574	0.634	19	0.05	12000	1000	1	500	111	1	0	1	19	19	0	1	0.765339425587467	2345	19	5281.09942639321
Simulation_20	1.935	0.018	0.167	0.046	2.142	0.747	20	0.05	12000	1000	1	500	111	1	0	1	12	15	3	0	-1	-1	-1	4038.82455357554
Simulation_21	2.941	0.063	0.293	0.118	0.887	0.294	21	0.05	12000	1000	1	500	111	1	0	1	45	47	2	1	0.647845953002611	1985	39	2950.24581639803
Simulation_22	2.438	0.041	0.23	0.009	1.515	0.973	22	0.05	12000	1000	1	500	111	1	0	1	39	40	1	1	0.413838120104439	1268	39	3611.43844405608
Simulation_23	1.432	0.086	0.104	0.082	2.77	0.521	23	0.05	12000	1000	1	500	111	1	0	1	25	25	0	0	-1	-1	-1	5444.95537074586
Simulation_24	1.306	0.024	0.183	0.128	2.613	0.464	24	0.05	12000	1000	1	500	111	1	0	1	18	22	4	0	-1	-1	-1	4738.22627483984
Simulation_25	2.312	0.069	0.057	0.055	1.358	0.917	25	0.05	12000	1000	1	500	111	1	0	1	45	47	2	1	0.808746736292428	2478	45	3203.64187024303
Simulation_26	2.815	0.046	0.12	0.091	0.73	0.238	26	0.05	12000	1000	1	500	111	1	0	1	62	63	1	1	0.261422976501305	801	37	4611.49236051642
Simulation_27	1.809	0.092	0.246	0.018	1.985	0.691	27	0.05	12000	1000	1	500	111	1	0	1	20	21	1	1	0.406984334203655	1247	20	5309.57774824956
Simulation_28	1.558	0.035	0.089	0.146	1.044	0.577	28	0.05	12000	1000	1	500	111	1	0	1	119	128	9	1	0.371083550913838	1137	108	2211.62066614796
Simulation_29	2.564	0.08	0.214	0.073	2.299	0.125	29	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	2592.1498279529
Simulation_30	2.061	0.012	0.277	0.109	2.926	0.804	30	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	3173.0731747003
