Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance
Simulation_1	1.998	0.504	0.175	0.078	1.75	0.549	1	0.05	12000	1000	1	500	111
Simulation_2	2.501	0.255	0.238	0.041	2.377	0.323	2	0.05	12000	1000	1	500	111
Simulation_3	1.495	0.753	0.112	0.114	1.123	0.775	3	0.05	12000	1000	1	500	111
Simulation_4	1.747	0.38	0.206	0.023	2.691	0.889	4	0.05	12000	1000	1	500	111
Simulation_5	2.752	0.877	0.081	0.096	1.436	0.436	5	0.05	12000	1000	1	500	111
Simulation_6	2.25	0.131	0.144	0.059	0.809	0.662	6	0.05	12000	1000	1	500	111
Simulation_7	1.244	0.629	0.269	0.132	2.064	0.21	7	0.05	12000	1000	1	500	111
Simulation_8	1.369	0.317	0.128	0.105	1.907	0.266	8	0.05	12000	1000	1	500	111
Simulation_9	2.375	0.815	0.253	0.032	0.652	0.719	9	0.05	12000	1000	1	500	111
Simulation_10	2.878	0.068	0.191	0.141	1.279	0.493	10	0.05	12000	1000	1	500	111
Simulation_11	1.872	0.566	0.065	0.068	2.534	0.945	11	0.05	12000	1000	1	500	111
Simulation_12	1.621	0.193	0.285	0.087	1.593	0.832	12	0.05	12000	1000	1	500	111
Simulation_13	2.627	0.691	0.159	0.014	2.848	0.379	13	0.05	12000	1000	1	500	111
Simulation_14	2.124	0.442	0.097	0.123	2.221	0.606	14	0.05	12000	1000	1	500	111
Simulation_15	1.118	0.94	0.222	0.05	0.966	0.153	15	0.05	12000	1000	1	500	111
Simulation_16	1.181	0.473	0.261	0.064	1.201	0.408	16	0.05	12000	1000	1	500	111
Simulation_17	2.187	0.971	0.136	0.137	2.456	0.86	17	0.05	12000	1000	1	500	111
Simulation_18	2.69	0.224	0.073	0.027	1.828	0.181	18	0.05	12000	1000	1	500	111
Simulation_19	1.684	0.722	0.199	0.1	0.574	0.634	19	0.05	12000	1000	1	500	111
Simulation_20	1.935	0.099	0.167	0.046	2.142	0.747	20	0.05	12000	1000	1	500	111
Simulation_21	2.941	0.597	0.293	0.118	0.887	0.294	21	0.05	12000	1000	1	500	111
Simulation_22	2.438	0.348	0.23	0.009	1.515	0.973	22	0.05	12000	1000	1	500	111
Simulation_23	1.432	0.846	0.104	0.082	2.77	0.521	23	0.05	12000	1000	1	500	111
Simulation_24	1.306	0.162	0.183	0.128	2.613	0.464	24	0.05	12000	1000	1	500	111
Simulation_25	2.312	0.66	0.057	0.055	1.358	0.917	25	0.05	12000	1000	1	500	111
Simulation_26	2.815	0.411	0.12	0.091	0.73	0.238	26	0.05	12000	1000	1	500	111
Simulation_27	1.809	0.909	0.246	0.018	1.985	0.691	27	0.05	12000	1000	1	500	111
Simulation_28	1.558	0.286	0.089	0.146	1.044	0.577	28	0.05	12000	1000	1	500	111
Simulation_29	2.564	0.784	0.214	0.073	2.299	0.125	29	0.05	12000	1000	1	500	111
Simulation_30	2.061	0.037	0.277	0.109	2.926	0.804	30	0.05	12000	1000	1	500	111
Simulation_31	1.055	0.535	0.151	0.037	1.672	0.351	31	0.05	12000	1000	1	500	111
Simulation_32	1.086	0.271	0.202	0.089	2.26	0.676	32	0.05	12000	1000	1	500	111
Simulation_33	2.092	0.769	0.077	0.016	1.005	0.224	33	0.05	12000	1000	1	500	111
Simulation_34	2.595	0.022	0.14	0.125	1.632	0.903	34	0.05	12000	1000	1	500	111
Simulation_35	1.589	0.52	0.265	0.052	2.887	0.45	35	0.05	12000	1000	1	500	111
Simulation_36	1.841	0.146	0.108	0.107	1.319	0.337	36	0.05	12000	1000	1	500	111
Simulation_37	2.847	0.644	0.234	0.034	2.574	0.79	37	0.05	12000	1000	1	500	111
Simulation_38	2.344	0.395	0.297	0.143	1.946	0.111	38	0.05	12000	1000	1	500	111
Simulation_39	1.338	0.893	0.171	0.071	0.691	0.563	39	0.05	12000	1000	1	500	111
Simulation_40	1.464	0.084	0.25	0.025	0.848	0.62	40	0.05	12000	1000	1	500	111
Simulation_41	2.47	0.582	0.124	0.098	2.103	0.167	41	0.05	12000	1000	1	500	111
Simulation_42	2.972	0.333	0.061	0.062	2.73	0.846	42	0.05	12000	1000	1	500	111
Simulation_43	1.967	0.831	0.187	0.134	1.475	0.394	43	0.05	12000	1000	1	500	111
Simulation_44	1.715	0.457	0.155	0.007	2.417	0.507	44	0.05	12000	1000	1	500	111
Simulation_45	2.721	0.955	0.281	0.08	1.162	0.959	45	0.05	12000	1000	1	500	111
Simulation_46	2.218	0.208	0.218	0.043	0.534	0.28	46	0.05	12000	1000	1	500	111
Simulation_47	1.212	0.706	0.093	0.116	1.789	0.733	47	0.05	12000	1000	1	500	111
Simulation_48	1.149	0.24	0.116	0.148	2.966	0.988	48	0.05	12000	1000	1	500	111
Simulation_49	2.155	0.737	0.242	0.075	1.711	0.535	49	0.05	12000	1000	1	500	111
Simulation_50	2.658	0.488	0.179	0.112	1.083	0.761	50	0.05	12000	1000	1	500	111
Simulation_51	1.652	0.986	0.053	0.039	2.338	0.309	51	0.05	12000	1000	1	500	111
Simulation_52	1.904	0.364	0.273	0.13	0.77	0.195	52	0.05	12000	1000	1	500	111
Simulation_53	2.91	0.862	0.148	0.057	2.025	0.648	53	0.05	12000	1000	1	500	111
Simulation_54	2.407	0.115	0.085	0.093	2.652	0.422	54	0.05	12000	1000	1	500	111
Simulation_55	1.401	0.613	0.21	0.021	1.397	0.874	55	0.05	12000	1000	1	500	111
Simulation_56	1.275	0.426	0.069	0.048	1.554	0.818	56	0.05	12000	1000	1	500	111
Simulation_57	2.281	0.924	0.195	0.121	2.809	0.365	57	0.05	12000	1000	1	500	111
Simulation_58	2.784	0.177	0.257	0.012	2.181	0.592	58	0.05	12000	1000	1	500	111
Simulation_59	1.778	0.675	0.132	0.084	0.926	0.139	59	0.05	12000	1000	1	500	111
Simulation_60	1.527	0.053	0.226	0.066	1.868	0.252	60	0.05	12000	1000	1	500	111
Simulation_61	2.532	0.551	0.1	0.139	0.613	0.705	61	0.05	12000	1000	1	500	111
Simulation_62	2.029	0.302	0.163	0.03	1.24	0.478	62	0.05	12000	1000	1	500	111
Simulation_63	1.024	0.8	0.289	0.103	2.495	0.931	63	0.05	12000	1000	1	500	111
Simulation_64	1.039	0.403	0.161	0.122	1.025	0.882	64	0.05	12000	1000	1	500	111
Simulation_65	2.045	0.901	0.287	0.049	2.279	0.429	65	0.05	12000	1000	1	500	111
Simulation_66	2.548	0.154	0.224	0.085	2.907	0.655	66	0.05	12000	1000	1	500	111
Simulation_67	1.542	0.652	0.099	0.013	1.652	0.203	67	0.05	12000	1000	1	500	111
Simulation_68	1.794	0.029	0.255	0.14	2.593	0.316	68	0.05	12000	1000	1	500	111
Simulation_69	2.8	0.527	0.13	0.067	1.338	0.768	69	0.05	12000	1000	1	500	111
Simulation_70	2.297	0.278	0.067	0.104	0.711	0.542	70	0.05	12000	1000	1	500	111
